invoice_id,issue_date,customer_id,customer_name,item_description,qty,unit_price,total,status
INV-00001,2023-08-26,C-105,stark ind,Server Setup,14,1200.50,16807.00,Processing
INV-00002,2023-09-16,C-104,Umbrella Corp,Audit Service,2,2000.00,4000.00,REFUNDED
INV-00003,2023/04/23,C-102,Soylent Corp,Licencia Software,11,5000.00,55000.00,Cancelled
INV-00004,2023-03-22,C-108,Massive Dynamic,Front-end dev,3,50.00,150.00,Cancelled
INV-00005,2023/11/25,C-105,Stark Ind,Consultoria Data,14,1500.00,21000.00,Cancelled
INV-00006,2023-09-27,C-102,Soylent Corp,Consultoria Data,12,$ 1500.00,18000.00,REFUNDED
INV-00007,2023-12-13,C-101,Globex Inc,Server Setup,18,1200.50,21609.00,REFUNDED
INV-00008,2023-01-16,C-108,Massive Dynamic,Audit Service,3,2000.00,6000.00,Processing
INV-00009,28/11/2023,C-106,Wayne Ent,Consultoria Data,13,1500.00,19500.00,Processing
INV-00010,2023-13-22,C-106,wayne ent,Front-end dev,18,50.00,900.00,Pending
INV-00011,2023-04-29,C-104,Umbrella Corp,Licencia Software,17,$ 5000.00,85000.00,Pending
INV-00012,10/10/2023,C-109,Hooli,API Access,13,500.00,6500.00,Cancelled
INV-00013,2023-07-13,C-103,Initech,Front-end dev,12,50.00,600.00,Pending
INV-00014,2023-10-04,C-107,Cyberdyne,Front-end dev,1,50.00,50.00,REFUNDED
INV-00015,2023-08-09,C-105,Stark Ind,Server Setup,13,1200.50,15606.50,Paid
INV-00016,2023-10-01,C-100,Acme Corp,API Access,9,$ 500.00,4500.00,Processing
INV-00017,2023/04/07,C-104,Umbrella Corp,Front-end dev,17,50.00,850.00,Pending
INV-00018,2023-13-6,C-109,Hooli,Server Setup,8,1200.50,9604.00,Cancelled
INV-00019,2023-08-14,C-109,Hooli,Audit Service,17,2000.00,34000.00,Processing
INV-00020,2023/05/16,C-105,stark ind,Audit Service,10,USD 2000.00,20000.00,Processing
INV-00021,2023/11/20,C-109,Hooli,Consultoria Data,4,1500.00,6000.00,Cancelled
INV-00022,2023-08-24,C-104,Umbrella Corp,Front-end dev,10,50.00,500.00,Processing
INV-00023,2023-02-08,C-105,Stark Ind,Licencia Software,2,5000.00,10000.00,Processing
INV-00024,2023-08-25,C-108,massive dynamic,Server Setup,11,$ 1200.50,13205.50,REFUNDED
INV-00025,2023-01-02,C-100,Acme Corp,API Access,5,500.00,2500.00,Pending
INV-00026,08/06/2023,C-109,Hooli,Licencia Software,9,5000.00,45000.00,Pending
INV-00027,2023-01-09,C-103,Initech,Cloud Storage,12,20.00,240.00,Pending
INV-00028,2023-12-24,C-100,Acme Corp,Audit Service,3,USD 2000.00,6000.00,REFUNDED
INV-00029,2023-02-21,C-102,Soylent Corp,Mantenimiento,1,100.00,100.00,Pending
INV-00030,27/04/2023,C-105,Stark Ind,Mantenimiento,10,100.00,1000.00,Paid
INV-00031,2023-09-04,C-109,Hooli,Cloud Storage,4,20.00,80.00,Pending
INV-00032,27/07/2023,C-101,Globex Inc,Cloud Storage,18,20.00,360.00,Paid
INV-00033,2023/12/14,C-103,INITECH,API Access,13,500.00,6500.00,Processing
INV-00034,2023-08-28,C-100,Acme Corp,Cloud Storage,6,20.00,120.00,Paid
INV-00035,2023-12-03,C-103,,Audit Service,12,2000.00,24000.00,Cancelled
INV-00036,2023-05-30,C-102,Soylent Corp,Cloud Storage,18,20.00,360.00,Processing
INV-00037,2023-11-25,C-108,Massive Dynamic,Server Setup,17,USD 1200.50,20408.50,Cancelled
INV-00038,2023-10-04,C-103,initech,Consultoria Data,8,1500.00,12000.00,Processing
INV-00039,2023-03-19,C-108,Massive Dynamic,Licencia Software,11,5000.00,55000.00,REFUNDED
INV-00040,2023-05-26,C-105,Stark Ind,Cloud Storage,11,20.00,220.00,Cancelled
INV-00041,2023-11-21,C-104,Umbrella Corp,Front-end dev,9,50.00,450.00,Paid
INV-00042,2023-09-14,C-100,Acme Corp,Licencia Software,3,5000.00,15000.00,Paid
INV-00043,2023-05-11,C-101,Globex Inc,Licencia Software,6,USD 5000.00,30000.00,Processing
INV-00044,14/03/2023,C-105,Stark Ind,Front-end dev,15,50.00,750.00,REFUNDED
INV-00045,28/02/2023,C-107,Cyberdyne,Front-end dev,10,50.00,500.00,REFUNDED
INV-00046,2023-12-20,C-100,Acme Corp,Audit Service,3,2000.00,6000.00,Cancelled
INV-00047,05/11/2023,C-108,massive dynamic,Front-end dev,5,50.00,250.00,Paid
INV-00048,17/07/2023,C-106,Wayne Ent,Mantenimiento,7,100.00,700.00,Processing
INV-00049,2023-06-04,C-106,Wayne Ent,API Access,11,500.00,5500.00,Paid
INV-00050,2023-05-21,C-107,Cyberdyne,API Access,17,500.00,8500.00,Paid
INV-00051,2023/12/07,C-110,Dharma Initiative,Cloud Storage,7,20.00,140.00,REFUNDED
INV-00052,2023-09-23,C-102,soylent corp,Consultoria Data,9,1500.00,13500.00,Processing
INV-00053,2023-06-08,C-103,Initech,Mantenimiento,2,100.00,200.00,Cancelled
INV-00054,2023-07-06,C-101,Globex Inc,Front-end dev,4,50.00,200.00,Paid
INV-00055,2023/01/16,C-108,MASSIVE DYNAMIC,Consultoria Data,19,1500.00,28500.00,REFUNDED
INV-00056,2023-05-31,C-105,Stark Ind,Server Setup,19,1200.50,22809.50,Pending
INV-00057,2023-02-11,C-104,Umbrella Corp,Server Setup,11,1200.50,13205.50,Paid
INV-00058,29/10/2023,C-102,Soylent Corp,Audit Service,16,2000.00,32000.00,Processing
INV-00059,2023-05-18,C-102,Soylent Corp,Consultoria Data,17,1500.00,25500.00,Pending
INV-00060,2023-12-26,C-100,Acme Corp,Mantenimiento,18,$ 100.00,1800.00,Processing
INV-00061,2023-04-07,C-100,Acme Corp,Front-end dev,17,50.00,850.00,REFUNDED
INV-00062,2023-08-29,C-102,soylent corp,Server Setup,20,1200.50,24010.00,REFUNDED
INV-00063,2023-02-02,C-109,,Consultoria Data,19,1500.00,28500.00,Paid
INV-00064,03/06/2023,C-103,Initech,Licencia Software,3,5000.00,15000.00,REFUNDED
INV-00065,2023-13-22,C-105,Stark Ind,Consultoria Data,17,1500.00,25500.00,Pending
INV-00066,2023-13-4,C-102,soylent corp,Audit Service,5,2000.00,10000.00,Cancelled
INV-00067,2023-02-06,C-107,Cyberdyne,API Access,15,500.00,7500.00,Pending
INV-00068,2023-11-30,C-109,Hooli,Server Setup,10,1200.50,12005.00,Pending
INV-00069,2023/01/15,C-100,Acme Corp,Audit Service,16,2000.00,32000.00,Cancelled
INV-00070,2023-12-10,C-110,Dharma Initiative,Consultoria Data,9,1500.00,13500.00,Processing
INV-00071,2023-10-19,C-100,,Consultoria Data,3,1500.00,4500.00,Paid
INV-00072,2023-06-12,C-108,Massive Dynamic,Front-end dev,1,50.00,50.00,Paid
INV-00073,2023-10-06,C-107,cyberdyne,Mantenimiento,1,100.00,100.00,Pending
INV-00074,2023-09-13,C-100,Acme Corp,Server Setup,15,1200.50,18007.50,Pending
INV-00075,2023-04-11,C-102,soylent corp,Server Setup,7,1200.50,8403.50,REFUNDED
INV-00076,07/08/2023,C-108,Massive Dynamic,Consultoria Data,3,1500.00,4500.00,Cancelled
INV-00077,07/03/2023,C-102,Soylent Corp,Licencia Software,19,5000.00,95000.00,Cancelled
INV-00078,2023/09/11,C-104,Umbrella Corp,Licencia Software,1,5000.00,5000.00,Cancelled
INV-00079,2023-09-21,C-101,Globex Inc,API Access,18,500.00,9000.00,Cancelled
INV-00080,2023-04-24,C-109,Hooli,Audit Service,12,2000.00,24000.00,REFUNDED
INV-00081,2023-11-05,C-106,Wayne Ent,API Access,19,$ 500.00,9500.00,Cancelled
INV-00082,2023-07-01,C-102,Soylent Corp,Server Setup,3,1200.50,3601.50,Processing
INV-00083,2023-05-16,C-104,Umbrella Corp,API Access,7,500.00,3500.00,Paid
INV-00084,2023-12-26,C-100,Acme Corp,Licencia Software,13,5000.00,65000.00,Paid
INV-00085,2023-01-04,C-103,Initech,Front-end dev,18,50.00,900.00,Cancelled
INV-00086,2023-11-26,C-107,cyberdyne,API Access,7,500.00,3500.00,Cancelled
INV-00087,23/01/2023,C-108,Massive Dynamic,Audit Service,12,2000.00,24000.00,Paid
INV-00088,2023-05-28,C-103,initech,Server Setup,12,1200.50,14406.00,Pending
INV-00089,2023-04-29,C-105,Stark Ind,Cloud Storage,7,20.00,140.00,REFUNDED
INV-00090,2023-08-18,C-105,Stark Ind,Licencia Software,16,5000.00,80000.00,Processing
INV-00091,2023-05-13,C-107,Cyberdyne,API Access,11,500.00,5500.00,Pending
INV-00092,2023-12-10,C-110,Dharma Initiative,Licencia Software,2,5000.00,10000.00,Processing
INV-00093,2023-02-19,C-100,Acme Corp,API Access,15,$ 500.00,7500.00,Cancelled
INV-00094,2023-07-19,C-102,Soylent Corp,Licencia Software,11,$ 5000.00,55000.00,REFUNDED
INV-00095,2023-05-06,C-105,Stark Ind,Front-end dev,16,50.00,800.00,Processing
INV-00096,06/05/2023,C-104,Umbrella Corp,Consultoria Data,9,1500.00,13500.00,Cancelled
INV-00097,2023-11-01,C-100,Acme Corp,Mantenimiento,1,100.00,100.00,Cancelled
INV-00098,08/01/2023,C-100,Acme Corp,Mantenimiento,16,100.00,1600.00,Paid
INV-00099,2023-13-21,C-100,,Consultoria Data,18,1500.00,27000.00,REFUNDED
INV-00100,31/08/2023,C-107,Cyberdyne,Mantenimiento,13,100.00,1300.00,Processing
INV-00101,2023-12-23,C-108,Massive Dynamic,Consultoria Data,9,1500.00,13500.00,REFUNDED
INV-00102,2023-06-24,C-102,Soylent Corp,API Access,4,$ 500.00,2000.00,Paid
INV-00103,2023-09-26,C-108,massive dynamic,Server Setup,6,USD 1200.50,7203.00,Paid
INV-00104,2023-11-01,C-103,Initech,Server Setup,12,1200.50,14406.00,Cancelled
INV-00105,2023/11/11,C-101,Globex Inc,Cloud Storage,14,$ 20.00,280.00,Cancelled
INV-00106,2023/11/06,C-108,MASSIVE DYNAMIC,Front-end dev,2,$ 50.00,100.00,Pending
INV-00107,2023-01-04,C-102,SOYLENT CORP,API Access,20,500.00,10000.00,Pending
INV-00108,2023-07-07,C-104,umbrella corp,Audit Service,4,2000.00,8000.00,Pending
INV-00109,2023-11-04,C-106,wayne ent,API Access,5,500.00,2500.00,Cancelled
INV-00110,2023-06-21,C-110,Dharma Initiative,Audit Service,9,2000.00,18000.00,Paid
INV-00111,2023-09-03,C-102,Soylent Corp,Licencia Software,3,5000.00,15000.00,REFUNDED
INV-00112,2023-05-20,C-102,,Server Setup,2,USD 1200.50,2401.00,Processing
INV-00113,2023-03-14,C-109,hooli,API Access,14,$ 500.00,7000.00,REFUNDED
INV-00114,2023-12-06,C-105,Stark Ind,Licencia Software,1,5000.00,5000.00,REFUNDED
INV-00115,2023-04-29,C-102,Soylent Corp,Consultoria Data,19,1500.00,28500.00,Cancelled
INV-00116,2023-03-24,C-100,Acme Corp,Licencia Software,6,5000.00,30000.00,Pending
INV-00117,2023-01-31,C-101,Globex Inc,Front-end dev,1,50.00,50.00,Processing
INV-00118,04/09/2023,C-102,Soylent Corp,Front-end dev,17,$ 50.00,850.00,Pending
INV-00119,2023/12/15,C-110,Dharma Initiative,Cloud Storage,14,20.00,280.00,Paid
INV-00120,2023-08-10,C-105,,Mantenimiento,16,100.00,1600.00,Processing
INV-00121,2023-13-3,C-101,globex inc,Audit Service,15,2000.00,30000.00,Processing
INV-00122,2023-04-26,C-110,Dharma Initiative,Licencia Software,11,5000.00,55000.00,Processing
INV-00123,2023-05-21,C-102,Soylent Corp,Cloud Storage,1,20.00,20.00,Processing
INV-00124,2023-01-04,C-101,globex inc,Front-end dev,11,50.00,550.00,REFUNDED
INV-00125,2023-05-17,C-109,Hooli,Licencia Software,8,5000.00,40000.00,Processing
INV-00126,2023-01-27,C-108,Massive Dynamic,Audit Service,7,2000.00,13999.00,REFUNDED
INV-00127,2023-11-30,C-104,Umbrella Corp,Licencia Software,5,5000.00,25000.00,REFUNDED
INV-00128,2023/09/25,C-109,Hooli,Consultoria Data,7,1500.00,10500.00,Pending
INV-00129,2023-09-25,C-103,initech,Audit Service,14,2000.00,28000.00,Processing
INV-00130,2023-04-25,C-101,globex inc,Audit Service,6,2000.00,12000.00,Paid
INV-00131,2023-04-04,C-103,Initech,Licencia Software,4,5000.00,20000.00,Cancelled
INV-00132,2023-05-19,C-107,,Server Setup,6,1200.50,7203.00,Cancelled
INV-00133,2023-03-25,C-110,Dharma Initiative,Licencia Software,13,5000.00,65000.00,Paid
INV-00071,2023-10-19,C-100,,Consultoria Data,3,1500.00,4500.00,Paid
INV-00135,02/10/2023,C-105,Stark Ind,API Access,18,500.00,9000.00,Cancelled
INV-00136,2023-03-28,C-101,Globex Inc,Consultoria Data,1,1500.00,1499.00,Processing
INV-00137,2023-02-01,C-107,Cyberdyne,Audit Service,16,USD 2000.00,32000.00,Processing
INV-00138,2023-05-03,C-102,Soylent Corp,Audit Service,20,2000.00,40000.00,Cancelled
INV-00139,2023-05-27,C-101,Globex Inc,Audit Service,10,2000.00,20000.00,Pending
INV-00140,2023-06-28,C-106,Wayne Ent,Front-end dev,11,50.00,550.00,REFUNDED
INV-00141,2023-09-30,C-109,Hooli,Front-end dev,8,50.00,400.00,REFUNDED
INV-00142,2023-09-08,C-105,stark ind,Cloud Storage,20,20.00,400.00,Cancelled
INV-00143,2023-02-23,C-107,Cyberdyne,Consultoria Data,12,1500.00,18000.00,REFUNDED
INV-00144,24/07/2023,C-109,Hooli,Audit Service,18,2000.00,36000.00,Pending
INV-00145,30/05/2023,C-109,Hooli,Server Setup,11,1200.50,13205.50,Pending
INV-00146,2023-07-27,C-110,Dharma Initiative,Consultoria Data,10,1500.00,15000.00,Processing
INV-00147,2023-13-22,C-109,Hooli,Mantenimiento,1,100.00,100.00,Cancelled
INV-00148,2023-12-04,C-101,Globex Inc,Server Setup,7,1200.50,8403.50,REFUNDED
INV-00149,2023/10/12,C-102,Soylent Corp,Consultoria Data,19,1500.00,28500.00,Pending
INV-00150,01/05/2023,C-101,Globex Inc,Server Setup,8,$ 1200.50,9604.00,REFUNDED
INV-00151,03/05/2023,C-105,stark ind,Front-end dev,3,50.00,150.00,Pending
INV-00152,07/03/2023,C-100,Acme Corp,Front-end dev,7,50.00,350.00,Cancelled
INV-00153,2023-13-10,C-109,Hooli,Consultoria Data,4,1500.00,6000.00,Paid
INV-00154,2023-03-31,C-109,HOOLI,Server Setup,3,1200.50,3601.50,Paid
INV-00155,2023-08-22,C-110,Dharma Initiative,Server Setup,11,1200.50,13205.50,REFUNDED
INV-00156,2023-07-25,C-105,Stark Ind,Licencia Software,20,5000.00,100000.00,Processing
INV-00157,2023-03-23,C-103,Initech,Audit Service,3,2000.00,6000.00,Processing
INV-00158,2023-11-08,C-108,Massive Dynamic,Front-end dev,15,50.00,750.00,REFUNDED
INV-00159,04/04/2023,C-107,Cyberdyne,Mantenimiento,10,100.00,1000.00,Paid
INV-00160,2023-08-12,C-110,dharma initiative,Mantenimiento,15,100.00,1500.00,REFUNDED
INV-00161,2023-07-16,C-101,Globex Inc,Cloud Storage,7,20.00,140.00,Cancelled
INV-00162,2023-10-04,C-100,acme corp,Consultoria Data,7,1500.00,10500.00,Pending
INV-00163,19/11/2023,C-107,Cyberdyne,Front-end dev,13,50.00,650.00,Pending
INV-00164,2023-11-13,C-102,Soylent Corp,Licencia Software,10,5000.00,50000.00,Paid
INV-00165,2023-12-05,C-101,Globex Inc,Licencia Software,15,5000.00,75000.00,Paid
INV-00166,2023/06/25,C-103,Initech,Licencia Software,18,5000.00,90000.00,Cancelled
INV-00167,2023-03-14,C-105,Stark Ind,Mantenimiento,19,100.00,NULL,Pending
INV-00168,2023-07-08,C-102,Soylent Corp,Cloud Storage,2,20.00,40.00,REFUNDED
INV-00169,2023-01-19,C-103,Initech,Consultoria Data,8,$ 1500.00,12000.00,REFUNDED
